FIPS,zone,hazard,vulnerability,zone_score,CALC,risk_score
08001988700,20,10.0,0.0,0.38934972311381916,0.01,0.1
08014980100,3,7.4,0.0,0.403410359898172,0.01,0.07400000000000001
08014980200,3,8.0,0.0,0.403410359898172,0.01,0.08
08014980300,3,8.2,0.0,0.403410359898172,0.01,0.08199999999999999
08031980100,20,9.0,0.0,0.38934972311381916,0.01,0.09
08059980000,2,7.0,0.0,0.4312970228535627,0.01,0.07
08001007801,1,9.4,0.9854,1.0,0.01,0.094
08001007802,1,8.7,0.9976,1.0,0.01,0.087
08001007900,1,10.0,0.9417,1.0,0.01,0.1
08001008000,1,9.3,0.9408,1.0,0.01,0.09300000000000001
08001008200,20,10.0,0.8574,0.38934972311381916,0.4680502768861809,4.680502768861809
08001008308,20,8.9,0.9959,0.38934972311381916,0.6065502768861808,5.398297464287009
08001008309,20,9.6,0.9019,0.38934972311381916,0.5125502768861809,4.920482658107336
08001008353,20,10.0,0.6256,0.38934972311381916,0.2362502768861809,2.362502768861809
08001008401,20,10.0,0.5592,0.38934972311381916,0.16985027688618087,1.6985027688618088
08001008505,20,7.8,0.4384,0.38934972311381916,0.049050276886180855,0.38259215971221067
08001008506,20,6.6,0.9733,0.38934972311381916,0.5839502768861808,3.8540718274487933
08001008507,20,7.7,0.6409999999999999,0.38934972311381916,0.25165027688618075,1.9377071320235917
08001008508,20,7.6,0.607,0.38934972311381916,0.21765027688618083,1.6541421043349742
08001008523,20,10.0,0.4279,0.38934972311381916,0.038550276886180845,0.38550276886180845
08001008524,20,7.6,0.1094,0.38934972311381916,0.01,0.076
08001008526,20,9.6,0.299,0.38934972311381916,0.01,0.096
08001008529,20,8.7,0.5713,0.38934972311381916,0.18195027688618087,1.5829674089097734
08001008533,20,9.0,0.722,0.38934972311381916,0.3326502768861808,2.9938524919756273
08001008534,20,8.7,0.2431,0.38934972311381916,0.01,0.087
08001008535,20,9.9,0.5997,0.38934972311381916,0.21035027688618085,2.0824677411731907
08001008536,20,10.0,0.158,0.38934972311381916,0.01,0.1
08001008537,20,10.0,0.3955,0.38934972311381916,0.01,0.1
08001008538,20,8.1,0.0818,0.38934972311381916,0.01,0.081
08001008539,20,8.8,0.4076,0.38934972311381916,0.01825027688618086,0.16060243659839157
08001008540,20,10.0,0.1734,0.38934972311381916,0.01,0.1
08001008541,20,10.0,0.1337,0.38934972311381916,0.01,0.1
08001008542,20,9.6,0.2925,0.38934972311381916,0.01,0.096
08001008543,20,8.9,0.8468,0.38934972311381916,0.45745027688618084,4.07130746428701
08001008544,20,8.4,0.1378,0.38934972311381916,0.01,0.084
08001008545,20,7.9,0.2942,0.38934972311381916,0.01,0.079
08001008546,20,8.8,0.316,0.38934972311381916,0.01,0.08800000000000001
08001008548,20,7.7,0.2836,0.38934972311381916,0.01,0.077
08001008549,20,7.4,0.2561,0.38934972311381916,0.01,0.07400000000000001
08001008550,20,7.3,0.3063,0.38934972311381916,0.01,0.073
08001008551,20,10.0,0.3801,0.38934972311381916,0.01,0.1
08001008603,20,10.0,0.8817,0.38934972311381916,0.4923502768861809,4.923502768861809
08001008605,20,9.3,0.6969,0.38934972311381916,0.3075502768861808,2.8602175750414816
08001008606,20,9.9,0.9198,0.38934972311381916,0.5304502768861807,5.25145774117319
08001008705,20,9.2,0.97,0.38934972311381916,0.5806502768861808,5.341982547352862
08001008706,20,9.4,0.9473,0.38934972311381916,0.5579502768861808,5.2447326027301
08001008709,1,8.6,0.9992,1.0,0.01,0.086
08001008801,20,9.0,0.9765,0.38934972311381916,0.5871502768861809,5.284352491975628
08001008901,1,10.0,0.8898,1.0,0.01,0.1
08001009001,20,8.6,0.9109,0.38934972311381916,0.5215502768861808,4.485332381221155
08001009002,20,8.9,0.7836,0.38934972311381916,0.3942502768861808,3.5088274642870094
08001009101,20,8.6,0.6848,0.38934972311381916,0.2954502768861808,2.540872381221155
08001009103,20,10.0,0.7942,0.38934972311381916,0.40485027688618086,4.048502768861809
08001009104,20,9.0,0.816,0.38934972311381916,0.4266502768861808,3.839852491975627
08001009202,20,7.4,0.7853,0.38934972311381916,0.39595027688618084,2.9300320489577385
08001009203,20,6.5,0.9498,0.38934972311381916,0.5604502768861808,3.642926799760175
08001009204,20,7.2,0.5073,0.38934972311381916,0.11795027688618082,0.8492419935805019
08001009206,20,6.3,0.6775,0.38934972311381916,0.28815027688618083,1.8153467443829392
08001009207,20,7.7,0.718,0.38934972311381916,0.3286502768861808,2.5306071320235923
08001009304,20,9.4,0.8882,0.38934972311381916,0.49885027688618083,4.6891926027301
08001009306,20,7.3,0.6337,0.38934972311381916,0.24435027688618088,1.7837570212691205
08001009307,20,9.3,0.8549,0.38934972311381916,0.46555027688618084,4.329617575041482
08001009308,20,7.9,0.8655,0.38934972311381916,0.4761502768861809,3.761587187400829
08001009309,20,6.1,0.8947,0.38934972311381916,0.5053502768861808,3.082636689005703
08001009310,20,6.9,0.8533,0.38934972311381916,0.4639502768861808,3.2012569105146476
08001009316,20,8.5,0.8849,0.38934972311381916,0.49555027688618086,4.212177353532537
08001009318,20,7.0,0.9822,0.38934972311381916,0.5928502768861807,4.149951938203265
08001009319,20,6.1,0.9514,0.38934972311381916,0.5620502768861808,3.4285066890057028
08001009320,20,6.7,0.9652,0.38934972311381916,0.5758502768861808,3.858196855137412
08001009321,20,4.8,0.8323,0.38934972311381916,0.4429502768861809,2.126161329053668
