geometry,latitude,longitude,distance,elevation,name,types,plus_code,vicinity,lifeline_number,lifeline_category
"{'location': {'lat': 39.5857713, 'lng': -104.8303273}, 'viewport': {'northeast': {'lat': 39.5871168302915, 'lng': -104.8285386697085}, 'southwest': {'lat': 39.5844188697085, 'lng': -104.8312366302915}}}",39.5857713,-104.8303273,21.9009,1752,Hindu Temple of The Rockies,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'H5P9+8V Centennial, Colorado, United States', 'global_code': '85FQH5P9+8V'}","7201 South Potomac Street, Centennial",1,safety_security
"{'location': {'lat': 39.5875, 'lng': -104.87}, 'viewport': {'northeast': {'lat': 39.5889500802915, 'lng': -104.8687185197085}, 'southwest': {'lat': 39.5862521197085, 'lng': -104.8714164802915}}}",39.5875,-104.87,19.786,1756,Shri Shirdi SaiBaba Temple of Rockies,"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'H4QJ+22 Centennial, Colorado, United States', 'global_code': '85FQH4QJ+22'}","10250 East Easter Avenue, Centennial",1,safety_security
"{'location': {'lat': 39.58996999999999, 'lng': -104.7087694}, 'viewport': {'northeast': {'lat': 39.5913466302915, 'lng': -104.7076091697085}, 'southwest': {'lat': 39.5886486697085, 'lng': -104.7103071302915}}}",39.58997,-104.7087694,29.2896,1832,Aurora Police Department,"['police', 'point_of_interest', 'establishment']","{'compound_code': 'H7QR+XF Aurora, Colorado, United States', 'global_code': '85FQH7QR+XF'}","23911 East Arapahoe Road, Aurora",1,safety_security
"{'location': {'lat': 39.590073, 'lng': -104.856254}, 'viewport': {'northeast': {'lat': 39.59155663029149, 'lng': -104.8549418197085}, 'southwest': {'lat': 39.5888586697085, 'lng': -104.8576397802915}}}",39.590073,-104.856254,20.1879,1738,Arapahoe County Centennial Motor Vehicle Office,"['local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'H4RV+2F Centennial, Colorado, United States', 'global_code': '85FQH4RV+2F'}","6954 South Lima Street, Centennial",1,safety_security
"{'location': {'lat': 39.5921289, 'lng': -104.6864756}, 'viewport': {'northeast': {'lat': 39.5934372302915, 'lng': -104.6854746197085}, 'southwest': {'lat': 39.5907392697085, 'lng': -104.6881725802915}}}",39.5921289,-104.6864756,30.7529,1853,Cherokee Trail High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'H8R7+VC Aurora, Colorado, United States', 'global_code': '85FQH8R7+VC'}","25901 East Arapahoe Road, Aurora",1,safety_security
"{'location': {'lat': 39.5926356, 'lng': -104.7466737}, 'viewport': {'northeast': {'lat': 39.5941958302915, 'lng': -104.7451720197085}, 'southwest': {'lat': 39.5914978697085, 'lng': -104.7478699802915}}}",39.5926356,-104.7466737,26.4944,1784,Grandview High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'H7V3+38 Aurora, Colorado, United States', 'global_code': '85FQH7V3+38'}","20500 East Arapahoe Road, Aurora",1,safety_security
"{'location': {'lat': 39.5928322, 'lng': -105.0702292}, 'viewport': {'northeast': {'lat': 39.5939093802915, 'lng': -105.06701755}, 'southwest': {'lat': 39.5912114197085, 'lng': -105.07265695}}}",39.5928322,-105.0702292,17.6796,1679,Front Range Christian School,"['school', 'primary_school', 'secondary_school', 'point_of_interest', 'establishment']","{'compound_code': 'HWVH+4W Littleton, Colorado, United States', 'global_code': '85FPHWVH+4W'}","6657 West Ottawa Avenue, Littleton",1,safety_security
"{'location': {'lat': 39.59578700000001, 'lng': -104.9632143}, 'viewport': {'northeast': {'lat': 39.59723373029151, 'lng': -104.9618578697085}, 'southwest': {'lat': 39.59453576970851, 'lng': -104.9645558302915}}}",39.59578700000001,-104.9632143,16.1355,1693,United States Postal Service,"['post_office', 'finance', 'point_of_interest', 'establishment']","{'compound_code': 'H2WP+8P Centennial, Colorado, United States', 'global_code': '85FQH2WP+8P'}","2221 East Arapahoe Road, Centennial",1,safety_security
"{'location': {'lat': 39.5960576, 'lng': -105.1048467}, 'viewport': {'northeast': {'lat': 39.5974043802915, 'lng': -105.1038193197085}, 'southwest': {'lat': 39.5947064197085, 'lng': -105.1065172802915}}}",39.5960576,-105.1048467,18.7202,1721,United States Postal Service,"['post_office', 'finance', 'point_of_interest', 'establishment']","{'compound_code': 'HVWW+C3 Littleton, Colorado, United States', 'global_code': '85FPHVWW+C3'}","6698 South Iris Street, Littleton",1,safety_security
"{'location': {'lat': 39.5993345, 'lng': -104.7030319}, 'viewport': {'northeast': {'lat': 39.6005623302915, 'lng': -104.7017955197085}, 'southwest': {'lat': 39.5978643697085, 'lng': -104.7044934802915}}}",39.5993345,-104.7030319,29.124,1850,Highpoint Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'H7XW+PQ Aurora, Colorado, United States', 'global_code': '85FQH7XW+PQ'}","6450 South Southlands Parkway, Aurora",1,safety_security
"{'location': {'lat': 39.5997418, 'lng': -104.8894298}, 'viewport': {'northeast': {'lat': 39.6010907802915, 'lng': -104.8880761197085}, 'southwest': {'lat': 39.5983928197085, 'lng': -104.8907740802915}}}",39.5997418,-104.8894298,17.7694,1754,MetLife Home Loans,"['finance', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'H4X6+V6 Greenwood Village, Colorado, United States', 'global_code': '85FQH4X6+V6'}","6400 South Fiddlers Green Circle, Greenwood Village",1,safety_security
"{'location': {'lat': 39.600443, 'lng': -104.799334}, 'viewport': {'northeast': {'lat': 39.6017955302915, 'lng': -104.7985240197085}, 'southwest': {'lat': 39.5990975697085, 'lng': -104.8012219802915}}}",39.600443,-104.799334,22.5013,1743,Regis Jesuit High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'J622+57 Aurora, Colorado, United States', 'global_code': '85FQJ622+57'}","6300 South Lewiston Way, Aurora",1,safety_security
"{'location': {'lat': 39.6005925, 'lng': -105.0224026}, 'viewport': {'northeast': {'lat': 39.6017352302915, 'lng': -105.0212915697085}, 'southwest': {'lat': 39.5990372697085, 'lng': -105.0239895302915}}}",39.6005925,-105.02240259999998,15.6773,1633,Denver Seminary,"['place_of_worship', 'university', 'point_of_interest', 'establishment']","{'compound_code': 'JX2H+62 Littleton, Colorado, United States', 'global_code': '85FPJX2H+62'}","6399 South Santa Fe Drive, Littleton",1,safety_security
"{'location': {'lat': 39.60407869999999, 'lng': -105.0732529}, 'viewport': {'northeast': {'lat': 39.6055961302915, 'lng': -105.0719166697085}, 'southwest': {'lat': 39.6028981697085, 'lng': -105.0746146302915}}}",39.60407869999999,-105.0732529,16.6415,1683,Columbine High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'JW3G+JM Littleton, Colorado, United States', 'global_code': '85FPJW3G+JM'}","6201 South Pierce Street, Littleton",1,safety_security
"{'location': {'lat': 39.606264, 'lng': -104.9035575}, 'viewport': {'northeast': {'lat': 39.6074962802915, 'lng': -104.9022091697085}, 'southwest': {'lat': 39.6047983197085, 'lng': -104.9049071302915}}}",39.606264,-104.9035575,16.5613,1716,Greenwood Village,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'J34W+GH Greenwood Village, Colorado, United States', 'global_code': '85FQJ34W+GH'}","6060 South Quebec Street, Greenwood Village",1,safety_security
"{'location': {'lat': 39.60643189999999, 'lng': -104.9031886}, 'viewport': {'northeast': {'lat': 39.6076205302915, 'lng': -104.9017102697085}, 'southwest': {'lat': 39.6049225697085, 'lng': -104.9044082302915}}}",39.60643189999999,-104.9031886,16.5588,1713,Greenwood Village City Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'J34W+HP Greenwood Village, Colorado, United States', 'global_code': '85FQJ34W+HP'}","6060 South Quebec Street, Greenwood Village",1,safety_security
"{'location': {'lat': 39.60806830000001, 'lng': -105.0188452}, 'viewport': {'northeast': {'lat': 39.6094949302915, 'lng': -105.0172460697085}, 'southwest': {'lat': 39.6067969697085, 'lng': -105.0199440302915}}}",39.608068300000006,-105.0188452,14.8053,1630,Arapahoe Community College,"['university', 'point_of_interest', 'establishment']","{'compound_code': 'JX5J+6F Littleton, Colorado, United States', 'global_code': '85FPJX5J+6F'}","5900 South Santa Fe Drive, Littleton",1,safety_security
"{'location': {'lat': 39.6083415, 'lng': -105.0191215}, 'viewport': {'northeast': {'lat': 39.6097134802915, 'lng': -105.0173925697085}, 'southwest': {'lat': 39.6070155197085, 'lng': -105.0200905302915}}}",39.6083415,-105.0191215,14.7793,1630,Arapahoe Community Clg Library,"['library', 'point_of_interest', 'establishment']","{'compound_code': 'JX5J+89 Littleton, Colorado, United States', 'global_code': '85FPJX5J+89'}","5900 South Santa Fe Drive, Littleton",1,safety_security
