cluster,latitude,longitude
0,39.5486133,-104.77103829999999
1,39.71390083846154,-104.93653303846153
2,39.742212800000004,-105.10963104999999
3,39.96095175000001,-105.1193101
4,40.02636500000001,-105.28149099999999
