zone,lifeline_1,lifeline_2,lifeline_3,lifeline_4,lifeline_5,lifeline_6,lifeline_7,score_n,score_n_weighted,score_weighted
0,15,8,6,0,0,2,0,0.1497308424082391,0.03339481713029647,6.6
1,106,91,51,7,19,65,0,2.598136974466449,0.41817514264103767,63.800000000000004
2,28,21,16,2,3,13,0,0.6058937276463465,0.10519496174548551,16.400000000000002
3,12,13,5,1,0,5,0,0.22197270966107052,0.04001616355383573,7.1
4,13,11,6,1,2,5,0,0.2919208105274134,0.04813911706043764,7.4
20,100,95,41,9,6,58,0,2.132344935290481,0.355079797868907,58.599999999999994
