geometry,name,plus_code,types,vicinity,latitude,longitude,lifeline_number,lifeline_category
"{'location': {'lat': 39.6246603, 'lng': -105.0200245}, 'viewport': {'northeast': {'lat': 39.6258865302915, 'lng': -105.0186762197085}, 'southwest': {'lat': 39.6231885697085, 'lng': -105.0213741802915}}}",Walgreens,"{'compound_code': 'JXFH+VX Littleton, Colorado, United States', 'global_code': '85FPJXFH+VX'}","['drugstore', 'convenience_store', 'food', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']","2697 West Belleview Avenue, Littleton",39.624660299999995,-105.0200245,1,safety_security
"{'location': {'lat': 39.62535099999999, 'lng': -105.007201}, 'viewport': {'northeast': {'lat': 39.62661208029149, 'lng': -105.0056011697085}, 'southwest': {'lat': 39.6239141197085, 'lng': -105.0082991302915}}}",Extra Space Storage,"{'compound_code': 'JXGV+44 Littleton, Colorado, United States', 'global_code': '85FPJXGV+44'}","['moving_company', 'storage', 'point_of_interest', 'store', 'establishment']","5001 South Windermere Street, Littleton",39.62535099999999,-105.007201,1,safety_security
"{'location': {'lat': 39.6257894, 'lng': -105.013999}, 'viewport': {'northeast': {'lat': 39.62721758029149, 'lng': -105.0126753197085}, 'southwest': {'lat': 39.62451961970849, 'lng': -105.0153732802915}}}",Lowe's Home Improvement,"{'compound_code': 'JXGP+8C Littleton, Colorado, United States', 'global_code': '85FPJXGP+8C'}","['hardware_store', 'furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']","5095 South Santa Fe Drive, Littleton",39.625789399999995,-105.013999,1,safety_security
"{'location': {'lat': 39.6281732, 'lng': -105.0114509}, 'viewport': {'northeast': {'lat': 39.6293136802915, 'lng': -105.0102002197085}, 'southwest': {'lat': 39.6266157197085, 'lng': -105.0128981802915}}}",U-Haul Moving & Storage at Santa Fe Dr,"{'compound_code': 'JXHQ+7C Littleton, Colorado, United States', 'global_code': '85FPJXHQ+7C'}","['moving_company', 'storage', 'point_of_interest', 'store', 'establishment']","4849-4859, South Santa Fe Drive, Littleton",39.6281732,-105.01145090000001,1,safety_security
"{'location': {'lat': 39.6311521, 'lng': -104.9874413}, 'viewport': {'northeast': {'lat': 39.6325022802915, 'lng': -104.9862830197085}, 'southwest': {'lat': 39.62980431970851, 'lng': -104.9889809802915}}}",Denver Used Tires,"{'compound_code': 'J2J7+F2 Englewood, Colorado, United States', 'global_code': '85FQJ2J7+F2'}","['car_repair', 'point_of_interest', 'store', 'establishment']","4700 South Broadway #B, Englewood",39.6311521,-104.9874413,1,safety_security
"{'location': {'lat': 39.63382780000001, 'lng': -105.0848169}, 'viewport': {'northeast': {'lat': 39.6353415802915, 'lng': -105.0833143197085}, 'southwest': {'lat': 39.6326436197085, 'lng': -105.0860122802915}}}",Phil Long Ford of Denver,"{'compound_code': 'JWM8+G3 Denver, Colorado, United States', 'global_code': '85FPJWM8+G3'}","['finance', 'car_dealer', 'point_of_interest', 'store', 'establishment']","7887 West Tufts Avenue, Denver",39.63382780000001,-105.08481689999999,1,safety_security
"{'location': {'lat': 39.6339585, 'lng': -104.940344}, 'viewport': {'northeast': {'lat': 39.6354542802915, 'lng': -104.9391401197085}, 'southwest': {'lat': 39.6327563197085, 'lng': -104.9418380802915}}}",Kent Denver School,"{'compound_code': 'J3M5+HV Englewood, Colorado, United States', 'global_code': '85FQJ3M5+HV'}","['school', 'point_of_interest', 'establishment']","4000 East Quincy Avenue, Englewood",39.633958500000006,-104.940344,1,safety_security
"{'location': {'lat': 39.63629399999999, 'lng': -105.0834646}, 'viewport': {'northeast': {'lat': 39.63786208029149, 'lng': -105.0822890197085}, 'southwest': {'lat': 39.63516411970849, 'lng': -105.0849869802915}}}",Walmart Supercenter,"{'compound_code': 'JWP8+GJ Littleton, Colorado, United States', 'global_code': '85FPJWP8+GJ'}","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'food', 'point_of_interest', 'store', 'establishment']","7700 West Quincy Avenue, Littleton",39.63629399999999,-105.0834646,1,safety_security
"{'location': {'lat': 39.6418839, 'lng': -105.0267863}, 'viewport': {'northeast': {'lat': 39.6434182302915, 'lng': -105.0254392197085}, 'southwest': {'lat': 39.6407202697085, 'lng': -105.0281371802915}}}",Sheridan City Office,"{'compound_code': 'JXRF+Q7 Sheridan, Colorado, United States', 'global_code': '85FPJXRF+Q7'}","['courthouse', 'local_government_office', 'point_of_interest', 'establishment']","4101 South Federal Boulevard, Sheridan",39.641883899999996,-105.02678629999998,1,safety_security
"{'location': {'lat': 39.64693269999999, 'lng': -104.9213055}, 'viewport': {'northeast': {'lat': 39.64849208029149, 'lng': -104.9201215197085}, 'southwest': {'lat': 39.6457941197085, 'lng': -104.9228194802915}}}",Thomas Jefferson High School,"{'compound_code': 'J3WH+QF Denver, Colorado, United States', 'global_code': '85FQJ3WH+QF'}","['secondary_school', 'school', 'point_of_interest', 'establishment']","3950 South Holly Street, Denver",39.646932699999994,-104.92130549999999,1,safety_security
"{'location': {'lat': 39.6473828, 'lng': -105.0692485}, 'viewport': {'northeast': {'lat': 39.6484203802915, 'lng': -105.0679622697085}, 'southwest': {'lat': 39.64572241970851, 'lng': -105.0706602302915}}}",Colorado Academy,"{'compound_code': 'JWWJ+X8 Denver, Colorado, United States', 'global_code': '85FPJWWJ+X8'}","['primary_school', 'secondary_school', 'school', 'point_of_interest', 'establishment']","3800 South Pierce Street, Denver",39.647382799999995,-105.06924850000001,1,safety_security
"{'location': {'lat': 39.64837199999999, 'lng': -105.0878203}, 'viewport': {'northeast': {'lat': 39.6496704802915, 'lng': -105.0866646197085}, 'southwest': {'lat': 39.6469725197085, 'lng': -105.0893625802915}}}",Mount View Youth Services Center,"{'compound_code': 'JWX6+8V Lakewood, Colorado, United States', 'global_code': '85FPJWX6+8V'}","['courthouse', 'point_of_interest', 'establishment']","7862 West Mansfield Parkway, Lakewood",39.64837199999999,-105.0878203,1,safety_security
"{'location': {'lat': 39.6497991, 'lng': -104.921273}, 'viewport': {'northeast': {'lat': 39.6511975802915, 'lng': -104.9201670197085}, 'southwest': {'lat': 39.6484996197085, 'lng': -104.9228649802915}}}",Hebrew Educational Alliance,"{'compound_code': 'J3XH+WF Denver, Colorado, United States', 'global_code': '85FQJ3XH+WF'}","['synagogue', 'place_of_worship', 'point_of_interest', 'establishment']","3600 South Ivanhoe Way, Denver",39.6497991,-104.921273,1,safety_security
"{'location': {'lat': 39.6500575, 'lng': -104.9209592}, 'viewport': {'northeast': {'lat': 39.6515185802915, 'lng': -104.9196078197085}, 'southwest': {'lat': 39.6488206197085, 'lng': -104.9223057802915}}}",Congregation Hebrew Educational Alliance,"{'compound_code': 'M32H+2J Denver, Colorado, United States', 'global_code': '85FQM32H+2J'}","['synagogue', 'place_of_worship', 'point_of_interest', 'establishment']","3600 South Ivanhoe Way, Denver",39.6500575,-104.9209592,1,safety_security
"{'location': {'lat': 39.6511997, 'lng': -104.9939902}, 'viewport': {'northeast': {'lat': 39.6525472302915, 'lng': -104.9924311697085}, 'southwest': {'lat': 39.64984926970851, 'lng': -104.9951291302915}}}",Englewood Police Department,"{'compound_code': 'M224+FC Englewood, Colorado, United States', 'global_code': '85FQM224+FC'}","['police', 'point_of_interest', 'establishment']","3615 South Elati Street, Englewood",39.65119970000001,-104.9939902,1,safety_security
"{'location': {'lat': 39.65129, 'lng': -105.0363376}, 'viewport': {'northeast': {'lat': 39.65264313029149, 'lng': -105.0344828697085}, 'southwest': {'lat': 39.6499451697085, 'lng': -105.0371808302915}}}",J K Mullen High School,"{'compound_code': 'MX27+GF Denver, Colorado, United States', 'global_code': '85FPMX27+GF'}","['school', 'point_of_interest', 'establishment']","3601 South Lowell Boulevard, Denver",39.65129,-105.0363376,1,safety_security
"{'location': {'lat': 39.6519527, 'lng': -104.8789753}, 'viewport': {'northeast': {'lat': 39.6531228802915, 'lng': -104.8772328197085}, 'southwest': {'lat': 39.65042491970851, 'lng': -104.8799307802915}}}",Walmart Supercenter,"{'compound_code': 'M42C+QC Denver, Colorado, United States', 'global_code': '85FQM42C+QC'}","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'food', 'point_of_interest', 'store', 'establishment']","9400 East Hampden Avenue, Denver",39.6519527,-104.87897530000001,1,safety_security
